"Meses","Desviacion","Perimetro_cefalico","sexo"
4,"+3 SD","44.4","niña"
5,"+3 SD","45.3","niña"
6,"+3 SD","46.1","niña"
7,"+3 SD","46.8","niña"
8,"+3 SD","47.4","niña"
9,"+3 SD","47.8","niña"
10,"+3 SD","48.3","niña"
11,"+3 SD","48.6","niña"
12,"+3 SD","49.0","niña"
13,"+3 SD","49.3","niña"
14,"+3 SD","49.5","niña"
15,"+3 SD","49.8","niña"
16,"+3 SD","50.0","niña"
17,"+3 SD","50.2","niña"
18,"+3 SD","50.4","niña"
19,"+3 SD","50.6","niña"
20,"+3 SD","50.7","niña"
21,"+3 SD","50.9","niña"
22,"+3 SD","51.1","niña"
23,"+3 SD","51.2","niña"
24,"+3 SD","51.4","niña"
25,"+3 SD","51.5","niña"
26,"+3 SD","51.7","niña"
27,"+3 SD","51.8","niña"
28,"+3 SD","51.9","niña"
29,"+3 SD","52.0","niña"
30,"+3 SD","52.2","niña"
