Mes,Desviacion,Estatura,sexo
54,-1 SD,101.6,niña
55,-1 SD,102.2,niña
56,-1 SD,102.7,niña
57,-1 SD,103.2,niña
58,-1 SD,103.7,niña
59,-1 SD,104.2,niña
60,-1 SD,104.7,niña
0,Mediana,49.1,niña
1,Mediana,53.7,niña
2,Mediana,57.1,niña
3,Mediana,59.8,niña
4,Mediana,62.1,niña
5,Mediana,64,niña
6,Mediana,65.7,niña
7,Mediana,67.3,niña
8,Mediana,68.7,niña
9,Mediana,70.1,niña
10,Mediana,71.5,niña
11,Mediana,72.8,niña
12,Mediana,74,niña
13,Mediana,75.2,niña
14,Mediana,76.4,niña
15,Mediana,77.5,niña
16,Mediana,78.6,niña
17,Mediana,79.7,niña
18,Mediana,80.7,niña
19,Mediana,81.7,niña
20,Mediana,82.7,niña
21,Mediana,83.7,niña
22,Mediana,84.6,niña
23,Mediana,85.5,niña
24,Mediana,86.4,niña
25,Mediana,86.6,niña
26,Mediana,87.4,niña
27,Mediana,88.3,niña
28,Mediana,89.1,niña
29,Mediana,89.9,niña
30,Mediana,90.7,niña
31,Mediana,91.4,niña
32,Mediana,92.2,niña
33,Mediana,92.9,niña
34,Mediana,93.6,niña
35,Mediana,94.4,niña
36,Mediana,95.1,niña
37,Mediana,95.7,niña
38,Mediana,96.4,niña
39,Mediana,97.1,niña
40,Mediana,97.7,niña
41,Mediana,98.4,niña
42,Mediana,99,niña
43,Mediana,99.7,niña
44,Mediana,100.3,niña
45,Mediana,100.9,niña
46,Mediana,101.5,niña
47,Mediana,102.1,niña
48,Mediana,102.7,niña
49,Mediana,103.3,niña
50,Mediana,103.9,niña
51,Mediana,104.5,niña
52,Mediana,105,niña
53,Mediana,105.6,niña
54,Mediana,106.2,niña
55,Mediana,106.7,niña
56,Mediana,107.3,niña
57,Mediana,107.8,niña
58,Mediana,108.4,niña
59,Mediana,108.9,niña
60,Mediana,109.4,niña
0,+1 SD,51,niña
1,+1 SD,55.6,niña
2,+1 SD,59.1,niña
3,+1 SD,61.9,niña
4,+1 SD,64.3,niña
5,+1 SD,66.2,niña
6,+1 SD,68,niña
7,+1 SD,69.6,niña
8,+1 SD,71.1,niña
9,+1 SD,72.6,niña
10,+1 SD,73.9,niña
11,+1 SD,75.3,niña
12,+1 SD,76.6,niña
13,+1 SD,77.8,niña
14,+1 SD,79.1,niña
15,+1 SD,80.2,niña
16,+1 SD,81.4,niña
17,+1 SD,82.5,niña
18,+1 SD,83.6,niña
19,+1 SD,84.7,niña
20,+1 SD,85.7,niña
21,+1 SD,86.7,niña
22,+1 SD,87.7,niña
23,+1 SD,88.7,niña
24,+1 SD,89.6,niña
25,+1 SD,89.9,niña
26,+1 SD,90.8,niña
27,+1 SD,91.7,niña
28,+1 SD,92.5,niña
29,+1 SD,93.4,niña
30,+1 SD,94.2,niña
31,+1 SD,95,niña
32,+1 SD,95.8,niña
33,+1 SD,96.6,niña
34,+1 SD,97.4,niña
35,+1 SD,98.1,niña
36,+1 SD,98.9,niña
37,+1 SD,99.6,niña
38,+1 SD,100.3,niña
39,+1 SD,101,niña
40,+1 SD,101.7,niña
41,+1 SD,102.4,niña
42,+1 SD,103.1,niña
43,+1 SD,103.8,niña
44,+1 SD,104.5,niña
45,+1 SD,105.1,niña
46,+1 SD,105.8,niña
47,+1 SD,106.4,niña
48,+1 SD,107,niña
49,+1 SD,107.7,niña
50,+1 SD,108.3,niña
51,+1 SD,108.9,niña
52,+1 SD,109.5,niña
53,+1 SD,110.1,niña
54,+1 SD,110.7,niña
55,+1 SD,111.3,niña
56,+1 SD,111.9,niña
57,+1 SD,112.5,niña
58,+1 SD,113,niña
59,+1 SD,113.6,niña
60,+1 SD,114.2,niña
0,+2 SD,52.9,niña
1,+2 SD,57.6,niña
2,+2 SD,61.1,niña
3,+2 SD,64,niña
4,+2 SD,66.4,niña
5,+2 SD,68.5,niña
6,+2 SD,70.3,niña
7,+2 SD,71.9,niña
8,+2 SD,73.5,niña
9,+2 SD,75,niña
10,+2 SD,76.4,niña
11,+2 SD,77.8,niña
12,+2 SD,79.2,niña
13,+2 SD,80.5,niña
14,+2 SD,81.7,niña
15,+2 SD,83,niña
16,+2 SD,84.2,niña
17,+2 SD,85.4,niña
18,+2 SD,86.5,niña
19,+2 SD,87.6,niña
20,+2 SD,88.7,niña
21,+2 SD,89.8,niña
22,+2 SD,90.8,niña
23,+2 SD,91.9,niña
24,+2 SD,92.9,niña
25,+2 SD,93.1,niña
26,+2 SD,94.1,niña
27,+2 SD,95,niña
28,+2 SD,96,niña
29,+2 SD,96.9,niña
30,+2 SD,97.7,niña
31,+2 SD,98.6,niña
32,+2 SD,99.4,niña
33,+2 SD,100.3,niña
34,+2 SD,101.1,niña
35,+2 SD,101.9,niña
36,+2 SD,102.7,niña
37,+2 SD,103.4,niña
38,+2 SD,104.2,niña
39,+2 SD,105,niña
40,+2 SD,105.7,niña
41,+2 SD,106.4,niña
42,+2 SD,107.2,niña
43,+2 SD,107.9,niña
44,+2 SD,108.6,niña
45,+2 SD,109.3,niña
46,+2 SD,110,niña
47,+2 SD,110.7,niña
48,+2 SD,111.3,niña
49,+2 SD,112,niña
50,+2 SD,112.7,niña
51,+2 SD,113.3,niña
52,+2 SD,114,niña
53,+2 SD,114.6,niña
54,+2 SD,115.2,niña
55,+2 SD,115.9,niña
56,+2 SD,116.5,niña
57,+2 SD,117.1,niña
58,+2 SD,117.7,niña
59,+2 SD,118.3,niña
60,+2 SD,118.9,niña
0,+3 SD,54.7,niña
1,+3 SD,59.5,niña
2,+3 SD,63.2,niña
3,+3 SD,66.1,niña
4,+3 SD,68.6,niña
5,+3 SD,70.7,niña
6,+3 SD,72.5,niña
7,+3 SD,74.2,niña
8,+3 SD,75.8,niña
9,+3 SD,77.4,niña
10,+3 SD,78.9,niña
11,+3 SD,80.3,niña
12,+3 SD,81.7,niña
13,+3 SD,83.1,niña
14,+3 SD,84.4,niña
15,+3 SD,85.7,niña
16,+3 SD,87,niña
17,+3 SD,88.2,niña
18,+3 SD,89.4,niña
19,+3 SD,90.6,niña
20,+3 SD,91.7,niña
21,+3 SD,92.9,niña
22,+3 SD,94,niña
23,+3 SD,95,niña
24,+3 SD,96.1,niña
25,+3 SD,96.4,niña
26,+3 SD,97.4,niña
27,+3 SD,98.4,niña
28,+3 SD,99.4,niña
29,+3 SD,100.3,niña
30,+3 SD,101.3,niña
31,+3 SD,102.2,niña
32,+3 SD,103.1,niña
33,+3 SD,103.9,niña
34,+3 SD,104.8,niña
35,+3 SD,105.6,niña
36,+3 SD,106.5,niña
37,+3 SD,107.3,niña
38,+3 SD,108.1,niña
39,+3 SD,108.9,niña
40,+3 SD,109.7,niña
41,+3 SD,110.5,niña
42,+3 SD,111.2,niña
43,+3 SD,112,niña
44,+3 SD,112.7,niña
45,+3 SD,113.5,niña
46,+3 SD,114.2,niña
47,+3 SD,114.9,niña
48,+3 SD,115.7,niña
49,+3 SD,116.4,niña
50,+3 SD,117.1,niña
51,+3 SD,117.7,niña
52,+3 SD,118.4,niña
53,+3 SD,119.1,niña
54,+3 SD,119.8,niña
55,+3 SD,120.4,niña
56,+3 SD,121.1,niña
57,+3 SD,121.8,niña
58,+3 SD,122.4,niña
59,+3 SD,123.1,niña
60,+3 SD,123.7,niña
